Time [s],pos_chart_series_1,pos_chart_series_2,sway_chart_series_1,u_chart_series_1
6.1870,0.7818,-0.6794,-8.2880,4.1110
6.2040,0.8093,-0.6778,-8.6556,4.0875
6.2210,0.8582,-0.6757,-9.0181,4.2447
6.2380,0.8956,-0.6732,-9.3748,4.3063
6.2550,0.9142,-0.6704,-9.7248,4.2223
6.2720,0.9333,-0.6672,-10.0668,4.1563
6.2890,0.9680,-0.6636,-10.4006,4.2281
6.3060,1.0053,-0.6596,-10.7260,4.3246
6.3230,1.0227,-0.6552,-11.0420,4.2625
6.3390,1.0604,-0.6507,-11.3308,4.3770
6.3550,1.0787,-0.6460,-11.6104,4.3507
6.3720,1.0978,-0.6405,-11.8968,4.3408
6.3880,1.1387,-0.6351,-12.1569,4.4988
6.4050,1.1764,-0.6289,-12.4231,4.6432
6.4220,1.1920,-0.6223,-12.6784,4.5923
6.4390,1.2049,-0.6153,-12.9221,4.5314
6.4560,1.2156,-0.6080,-13.1534,4.4648
6.4730,1.2547,-0.6004,-13.3728,4.6383
6.4900,1.2711,-0.5923,-13.5799,4.6253
6.5070,1.3022,-0.5839,-13.7750,4.7379
6.5230,1.3129,-0.5757,-13.9473,4.6857
6.5400,1.3307,-0.5666,-14.1176,4.7131
6.5560,1.3427,-0.5577,-14.2663,4.6864
6.5730,1.3622,-0.5479,-14.4114,4.7400
6.5900,1.3644,-0.5378,-14.5429,4.6455
6.6070,1.3644,-0.5273,-14.6603,4.5460
6.6230,1.3529,-0.5172,-14.7575,4.3672
6.6390,1.3484,-0.5069,-14.8408,4.2726
6.6550,1.3431,-0.4963,-14.9101,4.1823
6.6710,1.3409,-0.4855,-14.9650,4.1281
6.6870,1.3373,-0.4744,-15.0056,4.0716
6.7030,1.3267,-0.4632,-15.0315,3.9666
6.7200,1.3267,-0.4510,-15.0425,3.9583
6.7360,1.3213,-0.4393,-15.0383,3.9074
6.7530,1.3169,-0.4266,-15.0174,3.8756
6.7690,1.2902,-0.4145,-14.9828,3.6680
6.7850,1.2822,-0.4022,-14.9331,3.6310
6.8010,1.2733,-0.3898,-14.8688,3.5924
6.8180,1.2444,-0.3763,-14.7831,3.3992
6.8340,1.2324,-0.3636,-14.6875,3.3560
6.8500,1.2236,-0.3507,-14.5774,3.3437
6.8660,1.2084,-0.3377,-14.4528,3.2843
6.8830,1.2013,-0.3237,-14.3046,3.2944
6.8990,1.1884,-0.3104,-14.1516,3.2595
6.9150,1.1818,-0.2970,-13.9857,3.2769
6.9320,1.1693,-0.2826,-13.7951,3.2473
6.9480,1.1618,-0.2689,-13.6039,3.2599
6.9650,1.1529,-0.2543,-13.3879,3.2595
6.9810,1.1338,-0.2404,-13.1735,3.1778
6.9980,1.1129,-0.2256,-12.9333,3.0850
7.0140,1.1013,-0.2116,-12.6971,3.0738
7.0300,1.0702,-0.1975,-12.4507,2.9031
7.0460,1.0516,-0.1833,-12.1944,2.8417
7.0630,1.0151,-0.1682,-11.9105,2.6400
7.0790,0.9982,-0.1540,-11.6340,2.6097
7.0950,0.9836,-0.1397,-11.3487,2.5930
7.1120,0.9547,-0.1245,-11.0356,2.4606
7.1290,0.9382,-0.1093,-10.7133,2.4376
7.1460,0.8996,-0.0941,-10.3817,2.2348
7.1630,0.8542,-0.0789,-10.0405,1.9892
7.1790,0.8302,-0.0647,-9.7118,1.9279
7.1960,0.8062,-0.0496,-9.3542,1.8609
7.2120,0.7813,-0.0354,-9.0111,1.7929
7.2280,0.7569,-0.0213,-8.6619,1.7225
7.2440,0.7053,-0.0073,-8.3063,1.4352
7.2610,0.6782,0.0075,-7.9214,1.3582
7.2770,0.6098,0.0213,-7.5524,0.9578
7.2940,0.5911,0.0359,-7.1534,0.9706
7.3100,0.5547,0.0495,-6.7723,0.8434
7.3260,0.5351,0.0629,-6.3867,0.8459
7.3430,0.4978,0.0770,-5.9716,0.7003
7.3590,0.4782,0.0902,-5.5776,0.7096
7.3760,0.4369,0.1040,-5.1548,0.5288
7.3920,0.4156,0.1168,-4.7544,0.5228
7.4090,0.3720,0.1303,-4.3260,0.3237
7.4250,0.3298,0.1427,-3.9205,0.1512
7.4410,0.3098,0.1550,-3.5137,0.1520
7.4570,0.2893,0.1671,-3.1064,0.1423
7.4740,0.2422,0.1797,-2.6724,-0.0874
7.4910,0.2156,0.1921,-2.2381,-0.1357
7.5070,0.1596,0.2035,-1.8291,-0.4233
7.5230,0.1316,0.2147,-1.4203,-0.4842
7.5400,0.0778,0.2264,-0.9855,-0.7546
7.5570,0.0507,0.2377,-0.5511,-0.7899
7.5730,-0.0044,0.2481,-0.1427,-1.0550
7.5900,-0.0591,0.2588,0.2914,-1.3166
7.6070,-0.0831,0.2693,0.7247,-1.3105
7.6240,-0.1071,0.2794,1.1561,-1.3132
7.6410,-0.1524,0.2892,1.5857,-1.4949
7.6570,-0.1747,0.2981,1.9870,-1.4871
7.6730,-0.2196,0.3067,2.3855,-1.6811
7.6900,-0.2600,0.3155,2.8059,-1.8342
7.7060,-0.2800,0.3234,3.1976,-1.8095
7.7230,-0.3018,0.3315,3.6089,-1.8208
7.7390,-0.3462,0.3389,3.9914,-2.0101
7.7550,-0.3876,0.3458,4.3693,-2.1809
7.7720,-0.4089,0.3529,4.7652,-2.1881
7.7880,-0.4551,0.3592,5.1327,-2.3909
7.8050,-0.4804,0.3655,5.5171,-2.4322
7.8220,-0.5351,0.3713,5.8960,-2.7021
7.8390,-0.5658,0.3768,6.2689,-2.7690
7.8560,-0.5956,0.3819,6.6353,-2.8326
7.8730,-0.6502,0.3866,6.9957,-3.0992
7.8890,-0.6978,0.3906,7.3296,-3.2980
7.9060,-0.7173,0.3945,7.6778,-3.2794
7.9230,-0.7533,0.3979,8.0192,-3.3886
7.9390,-0.7711,0.4007,8.3335,-3.3523
7.9560,-0.8044,0.4033,8.6598,-3.4631
7.9720,-0.8178,0.4054,8.9589,-3.4017
7.9880,-0.8467,0.4071,9.2500,-3.4887
8.0050,-0.8627,0.4084,9.5498,-3.4740
8.0220,-0.8791,0.4094,9.8396,-3.4604
8.0390,-0.9111,0.4100,10.1194,-3.5803
8.0560,-0.9409,0.4101,10.3892,-3.6816
8.0730,-0.9578,0.4098,10.6484,-3.6802
8.0900,-1.0044,0.4091,10.8978,-3.9248
8.1060,-1.0222,0.4081,11.1233,-3.9279
8.1230,-1.0342,0.4066,11.3522,-3.9020
8.1390,-1.0889,0.4048,11.5589,-4.2156
8.1550,-1.1556,0.4026,11.7583,-4.6202
8.1710,-1.1556,0.4000,11.9494,-4.4695
8.1870,-1.1733,0.3970,12.1320,-4.4765
8.2030,-1.1898,0.3936,12.3060,-4.4778
8.2190,-1.2351,0.3899,12.4719,-4.7154
8.2350,-1.2498,0.3858,12.6296,-4.6966
8.2520,-1.2640,0.3810,12.7876,-4.6803
8.2680,-1.3022,0.3761,12.9283,-4.8507
8.2850,-1.3098,0.3704,13.0683,-4.7801
8.3010,-1.3098,0.3648,13.1909,-4.6472
8.3170,-1.3022,0.3588,13.3034,-4.4785
8.3340,-1.2951,0.3521,13.4109,-4.3292
8.3500,-1.2787,0.3455,13.5004,-4.1115
8.3660,-1.2680,0.3385,13.5776,-3.9679
8.3820,-1.2333,0.3314,13.6411,-3.6465
8.3990,-1.2067,0.3234,13.6923,-3.4154
8.4150,-1.1338,0.3158,13.7236,-2.8316
8.4310,-1.0938,0.3080,13.7371,-2.5587
8.4470,-1.0596,0.3000,13.7321,-2.3555
8.4640,-1.0111,0.2914,13.7050,-2.0571
