Time [s],pos_x_chart_series_1,pos_x_chart_series_2,pos_y_chart_series_1,pos_y_chart_series_2,u_chart_series_1,u_chart_series_2,status_color
2.7120,0.7739,-0.0169,-0.2300,0.0098,7.6328,-2.4700,100.0000
2.7270,0.7739,-0.0141,-0.2300,0.0102,7.5088,-2.4704,100.0000
2.7430,0.7739,-0.0109,-0.2300,0.0104,7.5277,-2.4471,100.0000
2.7590,0.7739,-0.0075,-0.2300,0.0106,7.4487,-2.4370,100.0000
2.7760,0.4653,-0.0038,-0.6067,0.0106,4.3319,-6.1892,100.0000
2.7920,0.4653,-0.0002,-0.6067,0.0103,4.2257,-6.1680,100.0000
2.8090,0.4653,0.0037,-0.6067,0.0099,4.2322,-6.1443,100.0000
2.8250,0.4653,0.0074,-0.6067,0.0092,4.1296,-6.1079,100.0000
2.8420,0.4653,0.0114,-0.6067,0.0083,4.1428,-6.0837,100.0000
2.8580,0.4653,0.0151,-0.6067,0.0073,4.0423,-6.0354,100.0000
2.8750,0.4653,0.0191,-0.6067,0.0059,4.0591,-6.0136,100.0000
2.8910,0.4653,0.0229,-0.6067,0.0044,3.9601,-5.9556,100.0000
2.9080,0.4653,0.0270,-0.6067,0.0026,3.9788,-5.9376,100.0000
2.9240,0.4653,0.0307,-0.6067,0.0008,3.8809,-5.8714,100.0000
2.9400,0.4653,0.0345,-0.6067,-0.0012,3.8729,-5.8440,100.0000
2.9570,0.4653,0.0385,-0.6067,-0.0035,3.8634,-5.8178,100.0000
2.9740,0.4653,0.0425,-0.6067,-0.0060,3.7965,-5.7587,100.0000
2.9910,0.4653,0.0465,-0.6067,-0.0087,3.7577,-5.7139,100.0000
3.0070,0.4653,0.0502,-0.6067,-0.0113,3.6900,-5.6493,100.0000
3.0240,0.4653,0.0542,-0.6067,-0.0142,3.7109,-5.6453,100.0000
3.0400,0.4653,0.0579,-0.6067,-0.0171,3.6166,-5.5588,100.0000
3.0570,0.4653,0.0618,-0.6067,-0.0203,3.6377,-5.5582,100.0000
3.0730,0.4653,0.0655,-0.6067,-0.0233,3.5444,-5.4675,100.0000
3.0890,0.4653,0.0692,-0.6067,-0.0265,3.5386,-5.4473,100.0000
3.1050,0.4653,0.0728,-0.6067,-0.0298,3.5042,-5.4037,100.0000
3.1220,0.4653,0.0766,-0.6067,-0.0334,3.4969,-5.3840,100.0000
3.1390,0.4653,0.0805,-0.6067,-0.0370,3.4341,-5.3133,100.0000
3.1560,0.4653,0.0843,-0.6067,-0.0407,3.3985,-5.2667,100.0000
3.1720,0.4653,0.0878,-0.6067,-0.0443,3.3351,-5.1926,100.0000
3.1880,0.4653,0.0914,-0.6067,-0.0480,3.3301,-5.1762,100.0000
